country,arrivals,ISO3_code,AveragePopulation,ArrivalsPer1000
ABW,2,ABW,107.99936363636363,18.51862763501132
AFG,2750,AFG,42154.94209090909,65.23553025098451
AGO,169,AGO,37318.521045454545,4.5285824642985
AIA,4,AIA,14.57218181818182,274.49561430870773
ALB,1549,ALB,2803.221045454545,552.5786139882622
AND,194,AND,81.38827272727272,2383.635792961014
ARE,15461,ARE,10807.789681818182,1430.5422713776397
ARG,16051,ARG,45647.55190909091,351.62893361655557
ARM,2158,ARM,2962.206909090909,728.5108927999505
ATG,578,ATG,93.5769090909091,6176.7374624276
AUS,889069,AUS,26595.111090909093,33429.790797298345
AUT,33865,AUT,9104.849454545454,3719.4464520325955
AZE,3931,AZE,10322.627227272727,380.81390652315395
BDI,157,BDI,13867.044181818183,11.321807152374335
BEL,47579,BEL,11717.476454545455,4060.515946805518
BEN,319,BEN,14288.10490909091,22.326263841822296
BFA,209,BFA,23291.835,8.973101518192964
BGD,1165402,BGD,172700.82804545455,6748.097349557978
BGR,9556,BGR,6776.495636363637,1410.1683986515313
BHR,5914,BHR,1588.4068636363636,3723.227427046614
BHS,240,BHS,400.6328181818182,599.0522720759271
BIH,2041,BIH,3177.5362727272727,642.3215424849309
BLR,11138,BLR,9089.886636363635,1225.3178114942589
BLZ,277,BLZ,413.9202727272727,669.2110008888405
BMU,4,BMU,64.6471818181818,61.87431358183371
BOL,1050,BOL,12339.014818181819,85.09593476237674
BRA,35881,BRA,211679.74513636364,169.50606198474748
BRB,231,BRB,282.43286363636366,817.8934881225997
BRN,2588744,BRN,461.1035,5614236.283177204
BTN,1730,BTN,789.3311363636363,2191.7290732631222
BWA,518,BWA,2502.466454545455,206.99578172530946
CAF,13,CAF,5278.197,2.4629622577558203
CAN,192117,CAN,39539.8105,4858.824500436086
CHE,60473,CHE,8890.942181818182,6801.641351764294
CHL,8897,CHL,19724.239409090907,451.0693576300524
CHN,4008013,CHN,1421030.699090909,2820.4971240692325
CIV,685,CIV,31554.168500000003,21.708700706215723
CMR,844,CMR,28756.707363636364,29.349674471676853
COD,430,COD,107548.24195454545,3.998205755717854
COG,96,COG,6259.618454545454,15.336398008458342
COK,1,COK,13.982,71.52052639107424
COL,6282,COL,52629.955818181814,119.36168104913719
COM,547,COM,858.6988181818182,637.0103095730358
CPV,84,CPV,523.9096818181818,160.33297897547055
CRI,2269,CRI,5120.933681818182,443.08326195593185
CUB,856,CUB,11004.696318181817,77.78497245632556
CYP,2345,CYP,1351.9979999999998,1734.4700214053573
CZE,25563,CZE,10726.897681818182,2383.0748421632316
DEU,339408,DEU,84466.16254545454,4018.271811713374
DJI,438,DJI,1161.0063181818182,377.258928862614
DMA,1366,DMA,66.38486363636363,20576.97982905468
DNK,47641,DNK,5960.194636363637,7993.195341195461
DOM,712,DOM,11382.83990909091,62.55029550502252
DZA,22332,DZA,46492.81013636364,480.3323338490432
ECU,2318,ECU,18070.454681818184,128.2756876246332
EGY,61353,EGY,115633.2995909091,530.5824552015418
ERI,538,ERI,3504.957227272728,153.49688030818788
ESP,105701,ESP,47896.517909090915,2206.861889221755
EST,8255,EST,1358.5245909090909,6076.44503105826
ETH,1201,ETH,130429.56172727272,9.208035234460747
FIN,28014,FIN,5606.854681818182,4996.38417432921
FJI,5371,FJI,927.1403181818182,5793.082120010567
FRA,335976,FRA,66485.68181818182,5053.3587204353635
FSM,29,FSM,112.9565,256.7360001416474
GAB,287,GAB,2512.2593181818183,114.23979918112462
GBR,780219,GBR,68914.01463636363,11321.63035511654
GEO,1936,GEO,3805.918181818182,508.6814554366286
GHA,2582,GHA,34118.16277272727,75.67816641240572
GIB,2,GIB,38.92063636363636,51.38662125957952
GIN,1748,GIN,14582.516363636363,119.86957232970393
GLP,1,GLP,378.27722727272726,2.643563841285714
GMB,844,GMB,2729.795090909091,309.18071572871304
GNB,26,GNB,2177.951136363636,11.93782521834272
GNQ,62,GNQ,1870.0137272727275,33.15483683129015
GRC,9507,GRC,10137.931681818181,937.7652462434993
GRD,525,GRD,117.17363636363638,4480.530060283494
GRL,4,GRL,55.893,71.56531229313153
GTM,827,GTM,18281.48418181818,45.23702735374688
GUY,197,GUY,828.7773181818181,237.6995553307142
HKG,27640,HKG,7425.439909090908,3722.3383851185117
HND,615,HND,10742.211409090909,57.2507816667561
HRV,7211,HRV,3884.5180454545452,1856.3435452276829
HTI,240,HTI,11711.261454545454,20.493095550082657
HUN,21586,HUN,9682.746727272728,2229.3261001240685
IDN,8477856,IDN,282473.9793181818,30012.874178582122
IND,2345086,IND,1445518.5428636363,1622.3147129986176
IRL,51700,IRL,5221.694181818181,9901.001131015717
IRN,61065,IRN,91115.2734090909,670.1949927300259
IRQ,34226,IRQ,45566.13318181818,751.1280332573157
ISL,1437,ISL,390.25754545454544,3682.18377001854
ISR,16,ISR,9317.577090909092,1.7171846118247596
ITA,123871,ITA,59416.34331818182,2084.7967593134363
JAM,717,JAM,2840.6088636363634,252.4106747601087
JOR,24557,JOR,11486.774863636363,2137.8498570334127
JPN,739722,JPN,124065.09454545454,5962.370018014883
KAZ,39276,KAZ,20458.22468181818,1919.8146765347494
KEN,13558,KEN,55914.473318181816,242.4774695247164
KGZ,8974,KGZ,7127.268772727272,1259.1078414692745
KHM,210154,KHM,17533.438954545454,11985.897378421514
KIR,116,KIR,133.5433181818182,868.6320033029799
KNA,2330,KNA,46.841772727272726,49741.92615565555
KOR,1057434,KOR,51758.189454545456,20430.27414876343
KWT,22762,KWT,4855.442772727272,4687.934976363592
LAO,55101,LAO,7721.060772727273,7136.454642946288
LBN,8141,LBN,5793.319772727273,1405.2391926171078
LBR,288,LBR,5553.766909090909,51.856695593143364
LBY,11524,LBY,7343.063090909091,1569.3723255989753
LCA,478,LCA,179.62004545454545,2661.1729152521702
LIE,241,LIE,39.74190909090909,6064.12740386265
LKA,138706,LKA,23044.89122727273,6018.947914835322
LSO,174,LSO,2325.5685454545455,74.82041341679341
LTU,14268,LTU,2851.6323181818184,5003.450097345362
LUX,1870,LUX,668.2249090909091,2798.4589837335657
LVA,6777,LVA,1875.2915454545453,3613.8380810314734
MAC,132,MAC,716.5569090909091,184.21425894485827
MAR,28552,MAR,37911.683454545455,753.118759134837
MCO,103,MCO,38.61845454545455,2667.118640875888
MDA,1083,MDA,3039.932909090909,356.25786238942715
MDG,2161,MDG,31589.037909090912,68.40980742177312
